STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CLDD,DP01,DP10,DT00,DT32,DX32,DX70,DX90,EMNT,EMXP,EMXT,HTDD,PRCP,TAVG,TMAX,TMIN
IN011150300,"GWALIOR, IN",26.233,78.25,207,2025-03,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,53.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,61.1
IN011150300,"GWALIOR, IN",26.233,78.25,207,2025-04,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,60.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,71.7
IN008010200,"SRINAGAR, IN",34.083,74.833,1587,2025-04,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,41.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,47.4
IN023060800,"BAHRAICH, IN",27.567,81.6,124,2025-03,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,50.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,58.1
IN023060800,"BAHRAICH, IN",27.567,81.6,124,2025-04,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,55.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,67.9
IN023060800,"BAHRAICH, IN",27.567,81.6,124,2025-05,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,69.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,77.4
IN024080100,"JALPAIGURI, IN",26.533,88.717,83,2025-03,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,56.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,63.0
IN024080100,"JALPAIGURI, IN",26.533,88.717,83,2025-04,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,63.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,70.1
IN024080100,"JALPAIGURI, IN",26.533,88.717,83,2025-05,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,70.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,74.4
IN009120100,"KARWAR, IN",14.783,74.133,4,2025-04,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,75.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,79.6
